"organisasjonsnummer";"navn";"stiftelsesdato";"registreringsdatoEnhetsregisteret";"organisasjonsform";"hjemmeside";"registrertIFrivillighetsregisteret";"registrertIMvaregisteret";"registrertIForetaksregisteret";"registrertIStiftelsesregisteret";"frivilligRegistrertIMvaregisteret";"antallAnsatte";"institusjonellSektorkode.kode";"institusjonellSektorkode.beskrivelse";"naeringskode1.kode";"naeringskode1.beskrivelse";"naeringskode2.kode";"naeringskode2.beskrivelse";"naeringskode3.kode";"naeringskode3.beskrivelse";"postadresse.adresse";"postadresse.postnummer";"postadresse.poststed";"postadresse.kommunenummer";"postadresse.kommune";"postadresse.landkode";"postadresse.land";"forretningsadresse.adresse";"forretningsadresse.postnummer";"forretningsadresse.poststed";"forretningsadresse.kommunenummer";"forretningsadresse.kommune";"forretningsadresse.landkode";"forretningsadresse.land";"sisteInnsendteAarsregnskap";"konkurs";"underAvvikling";"underTvangsavviklingEllerTvangsopplosning";"overordnetEnhet"
815124332;"NORSK FILMINSTITUTT FILMFOND OSLO";;2015-03-17;"ADOS";;"N";"N";"N";"N";;0;;;;;;;;;;;;;;;;"Filmens Hus Dronningens gate 16";152;"OSLO";301;"OSLO";"NO";"Norge";;"N";"N";"N";
875637142;"SETESDAL AUSTHEI VILLREINNEMND";;1996-03-05;"ADOS";;"N";"N";"N";"N";;0;;;;;;;;;;;;;;;;"Dallonaveien 8";4621;"KRISTIANSAND S";1001;"KRISTIANSAND";"NO";"Norge";;"N";"N";"N";
890489532;"HORTEN KEMNERKONTOR";;2007-03-19;"ADOS";;"N";"N";"N";"N";;0;;;;;;;;;"Postboks 10";3191;"HORTEN";701;"HORTEN";"NO";"Norge";"Teatergata 11";3187;"HORTEN";701;"HORTEN";"NO";"Norge";;"N";"N";"N";
890488692;"SKATTEOPPKREVEREN I AURSKOG-HØLAND KOMMUNE";;2007-03-19;"ADOS";;"N";"N";"N";"N";;0;;;;;;;;;;;;;;;;"Rådhusveien 3";1940;"BJØRKELANGEN";221;"AURSKOG-HØLAND";"NO";"Norge";;"N";"N";"N";
890488862;"KEMNEREN I RINGSAKER";;2007-03-19;"ADOS";;"N";"N";"N";"N";;0;;;;;;;;;"Postboks 23";2381;"BRUMUNDDAL";412;"RINGSAKER";"NO";"Norge";"Furnesvegen 28";2382;"BRUMUNDDAL";412;"RINGSAKER";"NO";"Norge";;"N";"N";"N";
890489192;"SKATTEOPPKREVEREN I ØSTRETOTEN KOMMUNE";;2007-03-19;"ADOS";;"N";"N";"N";"N";;0;;;;;;;;;"Postboks 24";2851;"LENA";528;"ØSTRE TOTEN";"NO";"Norge";;2850;"LENA";528;"ØSTRE TOTEN";"NO";"Norge";;"N";"N";"N";
890489362;"SKATTEOPPKREVEREN I FLÅ KOMMUNE";;2007-03-19;"ADOS";;"N";"N";"N";"N";;0;;;;;;;;;;;;;;;;"Gamlevegen 4";3550;"GOL";617;"GOL";"NO";"Norge";;"N";"N";"N";
890488552;"SKATTEOPPKREVEREN I SKIPTVET";;2007-03-19;"ADOS";;"N";"N";"N";"N";;0;;;;;;;;;"Postboks C";1801;"ASKIM";124;"ASKIM";"NO";"Norge";"Kirkegata 12";1807;"ASKIM";124;"ASKIM";"NO";"Norge";;"N";"N";"N";
890488722;"SKEDSMO KEMNERKONTOR- 0228 RÆLINGEN";;2007-03-19;"ADOS";;"N";"N";"N";"N";;0;;;;;;;;;"Postboks 313";2001;"LILLESTRØM";231;"SKEDSMO";"NO";"Norge";"Jonas Lies gate 18";2000;"LILLESTRØM";231;"SKEDSMO";"NO";"Norge";;"N";"N";"N";
890489052;"KEMNEREN I RØROS - OS - HOLTÅLEN";;2007-03-19;"ADOS";;"N";"N";"N";"N";;0;;;;;;;;;;;;;;;;"Tollef Bredals vei 13";7374;"RØROS";1640;"RØROS";"NO";"Norge";;"N";"N";"N";
890489222;"SKATTEOPPKREVEREN I LUNNER KOMMUNE";;2007-03-19;"ADOS";;"N";"N";"N";"N";;0;;;;;;;;;;;;;;;;"Sandsvegen 1";2740;"ROA";533;"LUNNER";"NO";"Norge";;"N";"N";"N";
890489702;"SKATTEOPPKREVEREN I SILJAN KOMMUNE";;2007-03-19;"ADOS";;"N";"N";"N";"N";;0;;;;;;;;;;;;;;;;"Sentrumsveien 105";3748;"SILJAN";811;"SILJAN";"NO";"Norge";;"N";"N";"N";
890489982;"SKATTEOPPKREVEREN I VALLE KOMMUNE";;2007-03-19;"ADOS";;"N";"N";"N";"N";;0;;;;;;;;;"Evjemoen";4735;"EVJE";937;"EVJE OG HORNNES";"NO";"Norge";"Kasernevegen 19";4735;"EVJE";937;"EVJE OG HORNNES";"NO";"Norge";;"N";"N";"N";
890490182;"SKATTEOPPKREVEREN I HAUGESUND KOMMUNE";;2007-03-19;"ADOS";"www.haugesund.kommune.no";"N";"N";"N";"N";;0;;;;;;;;;"Postboks 2161";5504;"HAUGESUND";1106;"HAUGESUND";"NO";"Norge";"Skåregata 103";5528;"HAUGESUND";1106;"HAUGESUND";"NO";"Norge";;"N";"N";"N";
890490352;"SKATTEOPPKREVEREN I KVITSØY KOMMUNE";;2007-03-19;"ADOS";;"N";"N";"N";"N";;0;;;;;;;;;;;;;;;;;4180;"KVITSØY";1144;"KVITSØY";"NO";"Norge";;"N";"N";"N";
890489672;"SKATTEOPPKREVEREN I PORSGRUNN KOMMUNE";;2007-03-19;"ADOS";;"N";"N";"N";"N";;0;;;;;;;;;"Postboks 128";3901;"PORSGRUNN";805;"PORSGRUNN";"NO";"Norge";"Rådhusgata 7";3915;"PORSGRUNN";805;"PORSGRUNN";"NO";"Norge";;"N";"N";"N";
890489842;"SKATTEOPPKREVEREN I VINJE KOMMUNE";;2007-03-19;"ADOS";;"N";"N";"N";"N";;0;;;;;;;;;;;;;;;;;3890;"VINJE";834;"VINJE";"NO";"Norge";;"N";"N";"N";
890490042;"SKATTEOPPKREVEREN I VENNESLA KOMMUNE";;2007-03-19;"ADOS";;"N";"N";"N";"N";;0;;;;;;;;;"Postboks 25";4701;"VENNESLA";1014;"VENNESLA";"NO";"Norge";"Venneslamoen 1";4700;"VENNESLA";1014;"VENNESLA";"NO";"Norge";;"N";"N";"N";
890490212;"SKATTEOPPKREVEREN I BJERKREIM KOMMUNE";;2007-03-19;"ADOS";;"N";"N";"N";"N";;0;;;;;;;;;"Postboks 19";4389;"VIKESÅ";1114;"BJERKREIM";"NO";"Norge";"HERADSHUSET";4389;"VIKESÅ";1114;"BJERKREIM";"NO";"Norge";;"N";"N";"N";
890490492;"SKATTEOPPKREVEREN I JONDAL KOMMUNE";;2007-03-19;"ADOS";;"N";"N";"N";"N";;0;;;;;;;;;;;;;;;;;5627;"JONDAL";1227;"JONDAL";"NO";"Norge";;"N";"N";"N";
