"Komune nr";"kommunenavn";"fylke";"sone";"bank kontonr";"orgnummer";"navn";"organisjasjonsform";"information"
101;"Halden";"Østfold Fylke";1;;;;;
104;"Moss";"Østfold Fylke";1;;;;;
105;"Sarpsborg";"Østfold Fylke";1;;;;;
106;"Fredrikstad";"Østfold Fylke";1;;;;;
111;"Hvaler";"Østfold Fylke";1;;;;;
118;"Aremark";"Østfold Fylke";1;;;;;
119;"Marker";"Østfold Fylke";1;;;;;
121;"Rømskog";"Østfold Fylke";1;;;;;
122;"Trøgstad";"Østfold Fylke";1;;;;;
123;"Spydeberg";"Østfold Fylke";1;;;;;
124;"Askim";"Østfold Fylke";1;;;;;
125;"Eidsberg";"Østfold Fylke";1;;;;;
127;"Skiptvet";"Østfold Fylke";1;;;;;
128;"Rakkestad";"Østfold Fylke";1;;;;;
135;"Råde";"Østfold Fylke";1;;;;;
136;"Rygge";"Østfold Fylke";1;;;;;
137;"Våler";"Østfold Fylke";1;;;;;
138;"Hobøl";"Østfold Fylke";1;;;;;
211;"Vestby";"Akershus";1;;;;;
213;"Ski";"Akershus";1;;;;;
214;"Ås";"Akershus";1;;;;;
215;"Frogn";"Akershus";1;;;;;
216;"Nesodden";"Akershus";1;;;;;
217;"Oppegård";"Akershus";1;;;;;
219;"Bærum";"Akershus";1;;;;;
220;"Asker";"Akershus";1;;;;;
221;"Aurskog-Høland";"Akershus";1;;;;;
226;"Sørum";"Akershus";1;;;;;
227;"Fet";"Akershus";1;;;;;
228;"Rælingen";"Akershus";1;63450602312;890488722;"SKEDSMO KEMNERKONTOR- 0228 RÆLINGEN";"Administrativ enhet - offentlig sektor";"AGA og FTR og inntekstskatt"
229;"Enebakk";"Akershus";1;;;;;
230;"Lørenskog";"Akershus";1;;;;;
231;"Skedsmo";"Akershus";1;;;;;
233;"Nittedal";"Akershus";1;;;;;
234;"Gjerdrum";"Akershus";1;;;;;
235;"Ullensaker";"Akershus";1;;;;;
236;"Nes";"Akershus";1;;;;;
237;"Eidsvoll";"Akershus";1;;;;;
238;"Nannestad";"Akershus";1;;;;;
239;"Hurdal";"Akershus";1;;;;;
301;"Oslo";"Oslo fylke";1;63450603017;976819934;"OSLO KEMNERKONTOR";"Organisasjonsledd";"AGA og FTR"
